OBJECTID,SETTLEMENT,REG_NAME,DIST_NAME,X,Y,house_count,shape name
4439,War mad cabdi,Bakool,Rab Dhuure,43.12629,3.99313,96,WAJID
4414,Mushka,Bakool,Rab Dhuure,43.12653,4.04613,90,WAJID
4412,Haran bariyoow,Bakool,Rab Dhuure,43.073,4.06051,88,WAJID
4425,Sheekh cabdalla/mal-mal,Bakool,Rab Dhuure,43.06822,4.14987,86,RABDURE
4423,War faash,Bakool,Rab Dhuure,43.05405,4.1095,82,RABDURE
4456,Imilow,Bakool,Rab Dhuure,43.22133,4.27265,81,RABDURE
4427,War mad maalin,Bakool,Rab Dhuure,43.06856,4.09699,80,RABDURE
4457,Boholey,Bakool,Rab Dhuure,43.22373,4.24242,77,RABDURE
4451,Mal-mal sh.abdule,Bakool,Rab Dhuure,43.0691327,4.148539192,76,RABDURE
4340,Afgooye,Bakool,Rab Dhuure,43.16308,4.00288,75,WAJID
4341,Beer bilaan/inbeerey,Bakool,Rab Dhuure,43.15215,3.9767,75,WAJID
4332,War lowi,Bakool,Rab Dhuure,43.30768,3.99548,74,WAJID
4424,War uumoow,Bakool,Rab Dhuure,43.05537,4.09318,69,RABDURE
4404,Tuugsooy,Bakool,Rab Dhuure,43.05659,4.01478,62,WAJID
4338,War lowiley/kidhikoy,Bakool,Rab Dhuure,43.13737,4.04228,57,WAJID
4339,Dameerka,Bakool,Rab Dhuure,43.15703,4.00591,52,WAJID
4336,Doonful,Bakool,Rab Dhuure,43.14906,4.04164,43,WAJID
4326,Sooranta,Bakool,Rab Dhuure,43.24317,4.07846,42,RABDURE
4455,Lagaley,Bakool,Rab Dhuure,43.34005,4.30328,42,RABDURE
4384,Towsiiley leesameed,Bakool,Rab Dhuure,43.10476,3.96017,41,WAJID
4337,Gomor sangar,Bakool,Rab Dhuure,43.13825,4.03437,39,WAJID
4429,Buulo meegag,Bakool,Rab Dhuure,43.11424,4.07746,32,WAJID
4342,Doonka madi,Bakool,Rab Dhuure,43.16596,3.98424,31,WAJID
4430,Buulo oore,Bakool,Rab Dhuure,43.12939,4.07324,27,WAJID
4402,Kafaroow,Bakool,Rab Dhuure,43.10368,4.01277,20,WAJID
4335,Macalin yusuf,Bakool,Rab Dhuure,43.21626,3.99154,19,WAJID
4442,Rabdhure/waberi,Bakool,Rab Dhuure,43.04538,4.55303,5,RABDURE
4401,War macalim xasan,Bakool,Rab Dhuure,43.0847,3.98132,4,WAJID
9255,Sablaale,Shabelle Hoose,Sablaale,43.80448324,1.249450614,722,SABLALE
9282,Garas babow,Shabelle Hoose,Sablaale,43.92431,1.39451,165,SABLALE
9312,Holog tirey 1,Shabelle Hoose,Sablaale,43.91896,1.42513,127,SABLALE
9231,Biya maalow,Shabelle Hoose,Sablaale,43.70713,1.20875,126,SABLALE
9291,Halaka,Shabelle Hoose,Sablaale,43.93302,1.40375,124,SABLALE
9226,Buulo shiiq,Shabelle Hoose,Sablaale,43.71338,1.17952,120,SABLALE
9265,Sablale yeroy,Shabelle Hoose,Sablaale,43.88175,1.3343,51,SABLALE
9318,Garasley,Shabelle Hoose,Sablaale,43.9432,1.4294,43,SABLALE
9270,Caanawaay,Shabelle Hoose,Sablaale,43.91402,1.3688,40,SABLALE
6109,Waambato,Shabelle Hoose,Sablaale,43.28705,1.52474,38,SABLALE
9288,Qoqon weyn,Shabelle Hoose,Sablaale,43.92723,1.39848,34,SABLALE
9309,Dawoole,Shabelle Hoose,Sablaale,44.08324,1.42402,33,SABLALE
9316,Biyooley,Shabelle Hoose,Sablaale,43.94235,1.42618,32,SABLALE
9224,Far janno,Shabelle Hoose,Sablaale,43.72362,1.17803,30,SABLALE
9314,Garasley 2,Shabelle Hoose,Sablaale,43.94283081,1.424898372,28,SABLALE
9279,Laab gesi,Shabelle Hoose,Sablaale,43.90008,1.3867,24,SABLALE
9315,Eeribley,Shabelle Hoose,Sablaale,43.91641,1.42575,23,SABLALE
9289,Qooqon yarey,Shabelle Hoose,Sablaale,43.92804,1.39965,22,SABLALE
9262,Salaxow 1,Shabelle Hoose,Sablaale,43.81492,1.32813,19,SABLALE
6013,Gumarta,Shabelle Hoose,Sablaale,43.5035,1.14009,16,SABLALE
9257,Salaxow 4,Shabelle Hoose,Sablaale,43.81065,1.31988,14,SABLALE
9281,Laab gesi yarey 2,Shabelle Hoose,Sablaale,43.90288,1.38868,13,SABLALE
9256,Dhergane,Shabelle Hoose,Sablaale,43.87278,1.3155,12,SABLALE
9322,Ibrahim hafow,Shabelle Hoose,Sablaale,43.94772,1.43555,12,SABLALE
9319,Jujiley,Shabelle Hoose,Sablaale,43.94328,1.430751629,8,SABLALE
9328,Kuburey,Shabelle Hoose,Sablaale,43.9257,1.43997,4,SABLALE
9320,Soojalow,Shabelle Hoose,Sablaale,43.94643,1.4333,3,SABLALE
9334,Holog tiirey,Shabelle Hoose,Sablaale,43.94867,1.44425,2,SABLALE
9290,Qoqoonka,Shabelle Hoose,Sablaale,43.92808959,1.401181221,2,SABLALE
9259,Salaxow 3,Shabelle Hoose,Sablaale,43.8114,1.3215,1,SABLALE
9251,Laab koban,Shabelle Hoose,Sablaale,43.84785,1.29785,1,SABLALE
6088,Deerow sanle,Shabelle Hoose,Sablaale,43.16366,1.4603,1,SABLALE
6146,Wandid sakow,Juba Dhexe,Saakow,42.45466995,1.636070013,3842,SAKOW
6204,,Juba Dhexe,Saakow,42.29119873,1.810179949,2184,SALAGLE
6192,,Juba Dhexe,Saakow,42.18434906,1.792780041,852,SALAGLE
6160,Gurmeyso,Juba Dhexe,Saakow,42.40563965,1.690389991,739,SAKOW
6123,Egha roba,Juba Dhexe,Saakow,42.66970825,1.55250001,607,SAKOW
